unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1581447600000,2020-02-11 19:00:00,BTC/USDT,10206.22,10256.75,10160.15,10247.73,2125.24,21693177.35,
1581444000000,2020-02-11 18:00:00,BTC/USDT,10280.00,10323.59,10190.24,10206.22,4159.33,42713055.74,
1581440400000,2020-02-11 17:00:00,BTC/USDT,10220.12,10285.00,10215.00,10280.00,3358.28,34430080.57,
1581436800000,2020-02-11 16:00:00,BTC/USDT,10164.99,10311.00,10163.60,10220.12,7599.69,77655731.63,
1581433200000,2020-02-11 15:00:00,BTC/USDT,9857.95,10194.00,9852.58,10164.99,9014.70,90650856.09,
1581429600000,2020-02-11 14:00:00,BTC/USDT,9871.43,9901.50,9847.00,9857.95,2173.45,21470929.07,
1581426000000,2020-02-11 13:00:00,BTC/USDT,9847.74,9908.00,9846.46,9871.43,2429.00,23989440.09,
1581422400000,2020-02-11 12:00:00,BTC/USDT,9801.04,9877.54,9787.88,9847.74,3081.56,30340128.70,
1581418800000,2020-02-11 11:00:00,BTC/USDT,9786.87,9815.00,9775.07,9801.04,1339.17,13112703.49,
1581415200000,2020-02-11 10:00:00,BTC/USDT,9780.35,9805.00,9762.00,9786.87,1377.63,13479145.79,
1581411600000,2020-02-11 09:00:00,BTC/USDT,9789.88,9806.36,9763.16,9780.35,1587.39,15539441.24,
1581408000000,2020-02-11 08:00:00,BTC/USDT,9739.94,9789.95,9730.89,9789.88,1541.11,15041846.04,
1581404400000,2020-02-11 07:00:00,BTC/USDT,9765.38,9787.07,9727.00,9739.94,940.05,9170026.31,
1581400800000,2020-02-11 06:00:00,BTC/USDT,9754.01,9785.78,9735.14,9765.38,984.93,9613598.23,
1581397200000,2020-02-11 05:00:00,BTC/USDT,9749.12,9784.93,9742.49,9754.01,1080.94,10551870.68,
1581393600000,2020-02-11 04:00:00,BTC/USDT,9733.39,9761.63,9715.00,9749.12,1440.36,14024782.31,
1581390000000,2020-02-11 03:00:00,BTC/USDT,9759.76,9775.00,9722.24,9733.39,1371.01,13360274.93,
1581386400000,2020-02-11 02:00:00,BTC/USDT,9814.07,9821.00,9750.00,9759.76,1193.05,11665182.80,
1581382800000,2020-02-11 01:00:00,BTC/USDT,9779.69,9821.26,9700.00,9814.07,2722.51,26586975.39,
1581379200000,2020-02-11 12:00:00,BTC/USDT,9851.83,9862.18,9771.86,9779.69,1907.91,18711221.90,
1581375600000,2020-02-10 23:00:00,BTC/USDT,9842.83,9894.56,9841.80,9851.83,1020.22,10069818.13,
1581372000000,2020-02-10 22:00:00,BTC/USDT,9869.60,9870.41,9813.00,9842.83,1130.61,11121682.72,
1581368400000,2020-02-10 21:00:00,BTC/USDT,9852.43,9875.00,9845.47,9869.60,781.75,7707417.80,
1581364800000,2020-02-10 20:00:00,BTC/USDT,9829.56,9878.05,9827.46,9852.43,1289.82,12712005.18,
1581361200000,2020-02-10 19:00:00,BTC/USDT,9842.26,9849.71,9800.02,9829.56,1033.20,10157177.17,
1581357600000,2020-02-10 18:00:00,BTC/USDT,9846.42,9860.00,9816.33,9842.26,1105.71,10882066.69,
1581354000000,2020-02-10 17:00:00,BTC/USDT,9832.49,9853.77,9812.28,9846.42,1261.45,12404849.58,
1581350400000,2020-02-10 16:00:00,BTC/USDT,9865.05,9893.17,9815.73,9832.49,2455.53,24205277.19,
1581346800000,2020-02-10 15:00:00,BTC/USDT,9886.63,9925.63,9850.00,9865.05,2571.42,25453155.29,
1581343200000,2020-02-10 14:00:00,BTC/USDT,9822.61,9900.00,9812.14,9886.63,2325.86,22924964.60,
1581339600000,2020-02-10 13:00:00,BTC/USDT,9845.86,9866.00,9810.99,9822.61,2470.47,24311632.51,
1581336000000,2020-02-10 12:00:00,BTC/USDT,9821.43,9848.63,9777.60,9845.86,2445.19,23999740.86,
1581332400000,2020-02-10 11:00:00,BTC/USDT,9847.78,9848.98,9765.00,9821.43,3215.83,31539794.02,
1581328800000,2020-02-10 10:00:00,BTC/USDT,9835.20,9872.00,9820.79,9847.78,3507.62,34536861.30,
1581325200000,2020-02-10 09:00:00,BTC/USDT,9892.56,9893.78,9765.15,9835.20,5074.76,49826750.71,
1581321600000,2020-02-10 08:00:00,BTC/USDT,9968.99,9971.48,9860.88,9892.56,2274.30,22553583.84,
1581318000000,2020-02-10 07:00:00,BTC/USDT,9955.91,9993.00,9936.96,9968.99,1728.37,17229869.81,
1581314400000,2020-02-10 06:00:00,BTC/USDT,9835.71,10021.00,9814.82,9955.91,5349.52,53120471.38,
1581310800000,2020-02-10 05:00:00,BTC/USDT,10055.96,10084.14,9756.00,9835.71,4456.17,44215571.30,
1581307200000,2020-02-10 04:00:00,BTC/USDT,10090.47,10105.54,10025.20,10055.96,1996.19,20074098.79,
1581303600000,2020-02-10 03:00:00,BTC/USDT,10120.59,10120.59,10060.00,10090.47,1617.93,16322406.94,
1581300000000,2020-02-10 02:00:00,BTC/USDT,10133.32,10147.26,10080.00,10120.59,2085.22,21075202.94,
1581296400000,2020-02-10 01:00:00,BTC/USDT,10184.19,10184.40,10130.00,10133.32,1082.51,10990657.24,
1581292800000,2020-02-10 12:00:00,BTC/USDT,10151.75,10188.00,10150.00,10184.19,1587.04,16144923.95,
1581289200000,2020-02-09 23:00:00,BTC/USDT,10126.17,10160.00,10119.78,10151.75,1667.94,16914558.74,
1581285600000,2020-02-09 22:00:00,BTC/USDT,10084.98,10126.75,10082.78,10126.17,905.41,9151256.44,
1581282000000,2020-02-09 21:00:00,BTC/USDT,10064.30,10095.00,10059.53,10084.98,738.74,7448173.80,
1581278400000,2020-02-09 20:00:00,BTC/USDT,10074.85,10088.12,10053.00,10064.30,1179.14,11871319.22,
1581274800000,2020-02-09 19:00:00,BTC/USDT,10078.30,10098.16,10069.96,10074.85,543.99,5485243.71,
1581271200000,2020-02-09 18:00:00,BTC/USDT,10090.42,10093.46,10053.69,10078.30,1234.44,12434587.86,
1581267600000,2020-02-09 17:00:00,BTC/USDT,10112.03,10119.00,10075.32,10090.42,1312.50,13253341.69,
1581264000000,2020-02-09 16:00:00,BTC/USDT,10097.10,10125.79,10072.16,10112.03,1764.17,17822742.73,
1581260400000,2020-02-09 15:00:00,BTC/USDT,10084.35,10125.30,10000.10,10097.10,2987.88,30068459.35,
1581256800000,2020-02-09 14:00:00,BTC/USDT,10098.36,10118.44,10060.00,10084.35,1646.14,16612163.99,
1581253200000,2020-02-09 13:00:00,BTC/USDT,10126.50,10140.01,10089.05,10098.36,1324.18,13394413.39,
1581249600000,2020-02-09 12:00:00,BTC/USDT,10109.52,10145.64,10108.61,10126.50,1161.46,11768837.84,
1581246000000,2020-02-09 11:00:00,BTC/USDT,10121.59,10134.00,10100.00,10109.52,1165.05,11790106.41,
1581242400000,2020-02-09 10:00:00,BTC/USDT,10075.00,10126.16,10050.00,10121.59,1897.07,19140462.14,
1581238800000,2020-02-09 09:00:00,BTC/USDT,10110.93,10141.05,10075.00,10075.00,2177.54,21984867.87,
1581235200000,2020-02-09 08:00:00,BTC/USDT,10127.87,10151.04,10086.43,10110.93,2369.00,23975839.99,
1581231600000,2020-02-09 07:00:00,BTC/USDT,10096.76,10166.00,10094.87,10127.87,1919.63,19439033.29,
1581228000000,2020-02-09 06:00:00,BTC/USDT,10099.99,10123.10,10088.12,10096.76,1612.09,16287592.78,
1581224400000,2020-02-09 05:00:00,BTC/USDT,10091.27,10114.25,10040.00,10099.99,1929.59,19449520.79,
1581220800000,2020-02-09 04:00:00,BTC/USDT,10052.63,10131.00,10052.22,10091.27,3557.88,35907698.25,
1581217200000,2020-02-09 03:00:00,BTC/USDT,9938.90,10052.67,9937.92,10052.63,4488.62,44862994.13,
1581213600000,2020-02-09 02:00:00,BTC/USDT,9938.90,9938.90,9938.90,9938.90,0.00,0.00,
1581210000000,2020-02-09 01:00:00,BTC/USDT,9936.95,9944.25,9909.56,9938.90,890.62,8844812.01,
1581206400000,2020-02-09 12:00:00,BTC/USDT,9895.05,9947.50,9880.75,9936.95,1344.69,13344947.76,
1581202800000,2020-02-08 23:00:00,BTC/USDT,9913.26,9923.00,9892.50,9895.05,758.44,7513827.84,
1581199200000,2020-02-08 22:00:00,BTC/USDT,9914.67,9929.50,9840.00,9913.26,1588.42,15708647.66,
1581195600000,2020-02-08 21:00:00,BTC/USDT,9856.87,9940.00,9856.73,9914.67,2373.12,23491818.84,
1581192000000,2020-02-08 20:00:00,BTC/USDT,9862.69,9870.00,9845.39,9856.87,722.65,7123807.96,
1581188400000,2020-02-08 19:00:00,BTC/USDT,9841.76,9869.43,9841.27,9862.69,1120.84,11042840.44,
1581184800000,2020-02-08 18:00:00,BTC/USDT,9862.19,9869.51,9816.00,9841.76,1279.23,12595373.54,
1581181200000,2020-02-08 17:00:00,BTC/USDT,9858.41,9888.00,9840.49,9862.19,2124.87,20970976.52,
1581177600000,2020-02-08 16:00:00,BTC/USDT,9829.47,9871.00,9810.10,9858.41,1877.82,18489228.78,
1581174000000,2020-02-08 15:00:00,BTC/USDT,9840.99,9850.00,9817.17,9829.47,1122.36,11039571.16,
1581170400000,2020-02-08 14:00:00,BTC/USDT,9793.51,9849.00,9783.25,9840.99,2705.51,26567470.30,
1581166800000,2020-02-08 13:00:00,BTC/USDT,9810.15,9866.00,9750.00,9793.51,3805.94,37337860.61,
1581163200000,2020-02-08 12:00:00,BTC/USDT,9810.02,9829.99,9801.15,9810.15,1475.38,14483915.70,
1581159600000,2020-02-08 11:00:00,BTC/USDT,9796.28,9817.89,9785.35,9810.02,1118.06,10958810.60,
1581156000000,2020-02-08 10:00:00,BTC/USDT,9809.31,9845.00,9791.00,9796.28,1918.51,18854263.13,
1581152400000,2020-02-08 09:00:00,BTC/USDT,9805.49,9821.50,9780.00,9809.31,1125.42,11033261.66,
1581148800000,2020-02-08 08:00:00,BTC/USDT,9771.39,9821.00,9769.51,9805.49,1949.68,19100135.05,
1581145200000,2020-02-08 07:00:00,BTC/USDT,9762.97,9779.09,9754.92,9771.39,1095.17,10697838.34,
1581141600000,2020-02-08 06:00:00,BTC/USDT,9760.99,9796.88,9751.81,9762.97,1476.79,14432638.16,
1581138000000,2020-02-08 05:00:00,BTC/USDT,9757.11,9780.00,9735.15,9760.99,1689.36,16484245.16,
1581134400000,2020-02-08 04:00:00,BTC/USDT,9714.11,9765.00,9700.02,9757.11,1315.27,12812524.58,
1581130800000,2020-02-08 03:00:00,BTC/USDT,9729.08,9729.73,9667.11,9714.11,2470.26,23950840.32,
1581127200000,2020-02-08 02:00:00,BTC/USDT,9786.43,9790.86,9706.74,9729.08,2190.44,21363008.83,
1581123600000,2020-02-08 01:00:00,BTC/USDT,9790.00,9795.40,9760.00,9786.43,1279.41,12509999.77,
1581120000000,2020-02-08 12:00:00,BTC/USDT,9813.73,9830.06,9769.81,9790.00,1377.56,13507861.82,
1581116400000,2020-02-07 23:00:00,BTC/USDT,9810.88,9831.00,9791.23,9813.73,1064.59,10443782.42,
1581112800000,2020-02-07 22:00:00,BTC/USDT,9759.00,9819.00,9757.82,9810.88,900.71,8816308.80,
1581109200000,2020-02-07 21:00:00,BTC/USDT,9741.49,9778.00,9730.00,9759.00,1843.27,17976710.00,
1581105600000,2020-02-07 20:00:00,BTC/USDT,9775.59,9778.88,9740.00,9741.49,1678.23,16389009.95,
1581102000000,2020-02-07 19:00:00,BTC/USDT,9799.35,9802.14,9765.00,9775.59,990.65,9689941.66,
1581098400000,2020-02-07 18:00:00,BTC/USDT,9781.03,9809.96,9780.00,9799.35,836.33,8193030.56,
1581094800000,2020-02-07 17:00:00,BTC/USDT,9798.39,9810.00,9780.00,9781.03,1133.28,11099933.89,
1581091200000,2020-02-07 16:00:00,BTC/USDT,9802.02,9836.27,9764.00,9798.39,2139.10,20977919.19,
1581087600000,2020-02-07 15:00:00,BTC/USDT,9823.22,9834.99,9781.10,9802.02,1521.42,14924116.42,
1581084000000,2020-02-07 14:00:00,BTC/USDT,9782.04,9845.00,9780.00,9823.22,2116.78,20758486.97,
1581080400000,2020-02-07 13:00:00,BTC/USDT,9755.88,9800.00,9754.28,9782.04,1195.07,11686020.90,
1581076800000,2020-02-07 12:00:00,BTC/USDT,9809.33,9827.55,9730.54,9755.88,2965.61,28977792.47,
1581073200000,2020-02-07 11:00:00,BTC/USDT,9816.57,9885.00,9802.67,9809.33,3800.73,37397943.06,
1581069600000,2020-02-07 10:00:00,BTC/USDT,9793.48,9838.35,9791.79,9816.57,2735.53,26844045.38,
1581066000000,2020-02-07 09:00:00,BTC/USDT,9773.08,9810.00,9773.05,9793.48,1570.38,15375658.47,
1581062400000,2020-02-07 08:00:00,BTC/USDT,9801.83,9811.26,9766.31,9773.08,1547.43,15153223.18,
1581058800000,2020-02-07 07:00:00,BTC/USDT,9779.74,9810.00,9759.63,9801.83,1647.19,16123789.98,
1581055200000,2020-02-07 06:00:00,BTC/USDT,9756.70,9792.99,9745.00,9779.74,1047.56,10236067.63,
1581051600000,2020-02-07 05:00:00,BTC/USDT,9792.12,9819.99,9745.02,9756.70,1493.19,14604520.06,
1581048000000,2020-02-07 04:00:00,BTC/USDT,9779.78,9813.99,9741.17,9792.12,1418.98,13880237.46,
1581044400000,2020-02-07 03:00:00,BTC/USDT,9800.00,9828.47,9775.00,9779.78,1257.86,12325866.27,
1581040800000,2020-02-07 02:00:00,BTC/USDT,9808.04,9855.00,9786.17,9800.00,2148.52,21120157.45,
1581037200000,2020-02-07 01:00:00,BTC/USDT,9791.15,9829.72,9770.95,9808.04,1447.81,14198964.79,
1581033600000,2020-02-07 12:00:00,BTC/USDT,9772.00,9824.48,9752.65,9791.15,1874.21,18359526.54,
1581030000000,2020-02-06 23:00:00,BTC/USDT,9692.70,9777.67,9660.00,9772.00,2779.04,27044084.16,
1581026400000,2020-02-06 22:00:00,BTC/USDT,9750.19,9765.17,9685.00,9692.70,1647.76,16023403.88,
1581022800000,2020-02-06 21:00:00,BTC/USDT,9783.43,9801.98,9740.00,9750.19,1985.10,19401974.29,
1581019200000,2020-02-06 20:00:00,BTC/USDT,9747.29,9792.00,9739.17,9783.43,1956.17,19101833.05,
1581015600000,2020-02-06 19:00:00,BTC/USDT,9769.18,9778.10,9722.43,9747.29,1885.21,18388889.77,
1581012000000,2020-02-06 18:00:00,BTC/USDT,9771.57,9779.93,9717.85,9769.18,1782.18,17375518.91,
1581008400000,2020-02-06 17:00:00,BTC/USDT,9788.64,9810.70,9733.41,9771.57,1630.66,15939469.77,
1581004800000,2020-02-06 16:00:00,BTC/USDT,9786.88,9839.63,9750.00,9788.64,2277.36,22299001.78,
1581001200000,2020-02-06 15:00:00,BTC/USDT,9824.30,9830.00,9756.00,9786.88,2266.92,22202278.62,
1580997600000,2020-02-06 14:00:00,BTC/USDT,9744.19,9862.57,9681.44,9824.30,4835.53,47299084.14,
1580994000000,2020-02-06 13:00:00,BTC/USDT,9825.22,9862.56,9638.00,9744.19,7736.47,75589794.24,
1580990400000,2020-02-06 12:00:00,BTC/USDT,9698.89,9832.32,9698.66,9825.22,6422.53,62724337.41,
1580986800000,2020-02-06 11:00:00,BTC/USDT,9678.50,9707.21,9655.00,9698.89,2000.02,19361013.78,
1580983200000,2020-02-06 10:00:00,BTC/USDT,9662.24,9698.00,9647.35,9678.50,1874.19,18131266.34,
1580979600000,2020-02-06 09:00:00,BTC/USDT,9645.90,9665.00,9619.30,9662.24,1742.35,16799260.52,
1580976000000,2020-02-06 08:00:00,BTC/USDT,9628.80,9667.17,9605.55,9645.90,2655.70,25619074.01,
1580972400000,2020-02-06 07:00:00,BTC/USDT,9649.07,9697.78,9615.11,9628.80,3031.64,29292800.56,
1580968800000,2020-02-06 06:00:00,BTC/USDT,9637.15,9690.00,9607.52,9649.07,2220.78,21430491.54,
1580965200000,2020-02-06 05:00:00,BTC/USDT,9644.84,9664.93,9630.00,9637.15,1170.86,11295796.03,
1580961600000,2020-02-06 04:00:00,BTC/USDT,9635.70,9653.99,9617.10,9644.84,1385.16,13347284.39,
1580958000000,2020-02-06 03:00:00,BTC/USDT,9582.97,9650.00,9571.00,9635.70,1228.29,11796123.41,
1580954400000,2020-02-06 02:00:00,BTC/USDT,9634.50,9635.11,9568.57,9582.97,878.10,8425447.41,
1580950800000,2020-02-06 01:00:00,BTC/USDT,9550.59,9634.99,9540.00,9634.50,1478.75,14185546.53,
1580947200000,2020-02-06 12:00:00,BTC/USDT,9612.04,9635.11,9526.35,9550.59,2479.17,23726077.82,
1580943600000,2020-02-05 23:00:00,BTC/USDT,9635.00,9671.22,9565.14,9612.04,1953.61,18801494.42,
1580940000000,2020-02-05 22:00:00,BTC/USDT,9692.50,9693.71,9608.27,9635.00,2861.26,27599188.76,
1580936400000,2020-02-05 21:00:00,BTC/USDT,9672.87,9725.00,9671.93,9692.50,2109.32,20458740.83,
1580932800000,2020-02-05 20:00:00,BTC/USDT,9655.99,9698.45,9653.56,9672.87,1632.55,15792544.60,
1580929200000,2020-02-05 19:00:00,BTC/USDT,9657.11,9715.00,9631.76,9655.99,2626.05,25411506.03,
1580925600000,2020-02-05 18:00:00,BTC/USDT,9560.52,9744.45,9560.00,9657.11,7655.11,73870069.12,
1580922000000,2020-02-05 17:00:00,BTC/USDT,9563.00,9568.00,9524.47,9560.52,1968.84,18804144.14,
1580918400000,2020-02-05 16:00:00,BTC/USDT,9485.08,9566.19,9472.30,9563.00,3958.86,37721429.32,
1580914800000,2020-02-05 15:00:00,BTC/USDT,9445.62,9494.20,9430.45,9485.08,2079.97,19682891.44,
1580911200000,2020-02-05 14:00:00,BTC/USDT,9448.87,9479.00,9412.00,9445.62,1938.14,18297841.79,
1580907600000,2020-02-05 13:00:00,BTC/USDT,9451.17,9466.65,9410.00,9448.87,2069.97,19544931.66,
1580904000000,2020-02-05 12:00:00,BTC/USDT,9418.48,9475.18,9414.35,9451.17,4040.70,38179799.80,
1580900400000,2020-02-05 11:00:00,BTC/USDT,9383.46,9421.75,9363.78,9418.48,3220.31,30264956.24,
1580896800000,2020-02-05 10:00:00,BTC/USDT,9254.68,9403.68,9250.00,9383.46,5420.54,50615662.26,
1580893200000,2020-02-05 09:00:00,BTC/USDT,9258.53,9276.92,9246.15,9254.68,1402.19,12985402.80,
1580889600000,2020-02-05 08:00:00,BTC/USDT,9274.53,9276.98,9232.75,9258.53,1900.55,17581572.84,
1580886000000,2020-02-05 07:00:00,BTC/USDT,9267.00,9298.00,9256.53,9274.53,1392.60,12919053.89,
1580882400000,2020-02-05 06:00:00,BTC/USDT,9276.43,9300.00,9263.84,9267.00,1564.23,14521431.94,
1580878800000,2020-02-05 05:00:00,BTC/USDT,9244.35,9289.99,9232.03,9276.43,2649.18,24524902.29,
1580875200000,2020-02-05 04:00:00,BTC/USDT,9239.19,9245.00,9216.75,9244.35,1132.95,10460425.48,
1580871600000,2020-02-05 03:00:00,BTC/USDT,9226.98,9242.00,9205.89,9239.19,1192.19,10992969.94,
1580868000000,2020-02-05 02:00:00,BTC/USDT,9189.60,9229.52,9177.22,9226.98,1051.32,9669957.94,
1580864400000,2020-02-05 01:00:00,BTC/USDT,9224.65,9245.87,9189.05,9189.60,1405.68,12957757.04,
1580860800000,2020-02-05 12:00:00,BTC/USDT,9197.02,9240.00,9185.00,9224.65,2035.24,18744088.84,
1580857200000,2020-02-04 23:00:00,BTC/USDT,9202.48,9220.19,9178.72,9197.02,1086.31,9989477.54,
1580853600000,2020-02-04 22:00:00,BTC/USDT,9169.09,9203.09,9161.18,9202.48,926.84,8509429.51,
1580850000000,2020-02-04 21:00:00,BTC/USDT,9204.64,9207.02,9165.29,9169.09,1048.72,9634529.80,
1580846400000,2020-02-04 20:00:00,BTC/USDT,9186.37,9205.98,9151.00,9204.64,1462.71,13421094.44,
1580842800000,2020-02-04 19:00:00,BTC/USDT,9195.57,9208.00,9176.00,9186.37,1088.45,10001536.32,
1580839200000,2020-02-04 18:00:00,BTC/USDT,9228.00,9240.00,9173.90,9195.57,1593.07,14674586.61,
1580835600000,2020-02-04 17:00:00,BTC/USDT,9225.40,9232.55,9200.62,9228.00,1283.00,11819442.09,
1580832000000,2020-02-04 16:00:00,BTC/USDT,9206.47,9240.00,9200.00,9225.40,2553.64,23542402.32,
1580828400000,2020-02-04 15:00:00,BTC/USDT,9153.51,9236.72,9144.00,9206.47,4552.97,41885417.60,
1580824800000,2020-02-04 14:00:00,BTC/USDT,9157.85,9171.98,9115.00,9153.51,2204.35,20157720.16,
1580821200000,2020-02-04 13:00:00,BTC/USDT,9133.41,9159.66,9093.01,9157.85,2365.47,21583756.89,
1580817600000,2020-02-04 12:00:00,BTC/USDT,9182.81,9204.57,9100.00,9133.41,3315.09,30290609.62,
1580814000000,2020-02-04 11:00:00,BTC/USDT,9170.92,9249.90,9108.00,9182.81,4262.09,39167813.29,
